userID,itemID,rating,timestamp
1,487,3,2015-08-018
1,416,1,2016-07-016
1,348,2,2017-04-05
1,54,5,2018-04-012
1,137,10,2018-09-016
1,61,3,2019-01-08
2,100,10,2015-06-019
2,893,10,2016-02-024
2,404,4,2016-04-06
2,491,10,2017-06-017
2,269,7,2018-03-09
2,643,10,2018-05-019
2,337,9,2019-05-06
3,711,3,2015-01-02
3,487,2,2015-06-011
3,882,8,2015-07-023
3,495,3,2015-09-01
3,740,7,2016-04-010
3,938,8,2016-04-016
3,642,3,2016-04-020
3,69,1,2018-01-023
4,421,6,2015-04-018
4,68,10,2016-03-010
4,554,7,2017-04-03
4,708,8,2017-08-023
5,473,6,2015-02-014
5,182,8,2015-02-016
5,523,10,2015-04-013
5,863,7,2015-04-015
5,530,7,2015-05-014
5,147,8,2016-06-05
5,840,7,2017-02-014
5,751,6,2017-05-015
6,296,4,2017-01-08
6,213,4,2017-06-04
6,378,4,2018-06-03
6,249,10,2019-01-05
7,700,1,2016-02-013
7,890,9,2016-06-019
7,390,8,2016-09-02
7,24,2,2017-04-025
7,974,3,2017-09-022
7,818,7,2017-09-05
7,93,5,2018-06-02
8,574,4,2016-05-023
8,961,2,2016-06-09
8,235,4,2016-08-08
8,436,1,2017-01-019
8,463,7,2017-03-024
8,390,9,2017-03-025
9,657,6,2015-01-020
9,168,10,2015-07-09
9,216,6,2016-07-02
9,762,5,2017-02-024
9,877,3,2017-02-04
9,474,4,2017-04-08
9,189,5,2017-07-04
9,181,1,2017-08-018
10,398,8,2015-01-010
10,786,7,2015-03-011
10,897,7,2015-07-017
10,262,7,2015-07-07
10,893,6,2015-09-022
10,691,6,2016-03-06
10,248,1,2017-05-022
10,811,10,2017-08-014
10,195,2,2017-09-019
11,523,4,2015-02-021
11,637,1,2016-03-03
11,409,5,2017-01-010
11,53,4,2019-04-018
11,638,1,2019-04-04
11,683,3,2019-04-05
11,842,2,2019-07-021
11,993,6,2019-08-023
11,439,8,2020-05-017
12,350,7,2015-04-014
12,977,10,2016-04-018
12,401,1,2016-05-05
12,380,2,2017-01-012
12,817,8,2017-05-02
12,16,8,2018-06-014
12,890,2,2018-07-011
13,508,3,2015-02-06
13,258,10,2015-03-021
13,459,7,2016-01-015
13,853,4,2016-05-012
14,102,8,2016-04-04
14,205,6,2016-06-02
14,470,7,2018-03-021
14,740,6,2018-06-08
14,899,1,2019-01-05
15,317,1,2015-04-01
15,963,5,2016-02-03
15,395,10,2016-04-017
16,462,7,2015-01-017
