userID,itemID,rating,test_batch
1,1,1.0,0
1,955,0.0,0
1,95,0.0,0
1,212,0.0,0
1,275,0.0,0
1,496,0.0,0
1,386,0.0,0
1,236,0.0,0
1,851,0.0,0
1,952,0.0,0
1,189,0.0,0
1,414,0.0,0
1,636,0.0,0
1,554,0.0,0
1,434,0.0,0
1,402,0.0,0
1,600,0.0,0
1,835,0.0,0
1,971,0.0,0
1,953,0.0,0
1,679,0.0,0
1,708,0.0,0
1,495,0.0,0
1,683,0.0,0
1,311,0.0,0
1,524,0.0,0
1,429,0.0,0
1,471,0.0,0
1,287,0.0,0
1,963,0.0,0
1,856,0.0,0
1,637,0.0,0
1,262,0.0,0
1,444,0.0,0
1,633,0.0,0
1,733,0.0,0
1,786,0.0,0
1,701,0.0,0
1,840,0.0,0
1,659,0.0,0
1,727,0.0,0
1,877,0.0,0
1,184,0.0,0
1,17,0.0,0
1,381,0.0,0
1,671,0.0,0
1,234,0.0,0
1,794,0.0,0
1,550,0.0,0
1,173,0.0,0
1,260,0.0,0
1,344,0.0,0
1,204,0.0,0
1,595,0.0,0
1,818,0.0,0
1,737,0.0,0
1,186,0.0,0
1,720,0.0,0
1,638,0.0,0
1,895,0.0,0
1,916,0.0,0
1,957,0.0,0
1,2,0.0,0
1,642,0.0,0
1,319,0.0,0
1,385,0.0,0
1,317,0.0,0
1,443,0.0,0
1,690,0.0,0
1,167,0.0,0
1,691,0.0,0
1,334,0.0,0
1,210,0.0,0
1,216,0.0,0
1,498,0.0,0
1,700,0.0,0
1,648,0.0,0
1,821,0.0,0
1,868,0.0,0
1,881,0.0,0
1,439,0.0,0
1,541,0.0,0
1,810,0.0,0
1,459,0.0,0
1,574,0.0,0
1,909,0.0,0
1,148,0.0,0
1,147,0.0,0
1,16,0.0,0
1,762,0.0,0
1,24,0.0,0
1,455,0.0,0
1,643,0.0,0
1,11,0.0,0
1,934,0.0,0
1,249,0.0,0
1,177,0.0,0
1,747,0.0,0
1,421,0.0,0
1,126,0.0,0
1,183,0.0,0
1,1,1.0,1
1,608,0.0,1
1,33,0.0,1
1,678,0.0,1
1,653,0.0,1
1,684,0.0,1
1,505,0.0,1
1,844,0.0,1
1,114,0.0,1
1,402,0.0,1
1,498,0.0,1
1,191,0.0,1
1,173,0.0,1
1,319,0.0,1
1,248,0.0,1
1,299,0.0,1
1,400,0.0,1
1,963,0.0,1
1,751,0.0,1
1,457,0.0,1
1,523,0.0,1
1,827,0.0,1
1,843,0.0,1
1,954,0.0,1
1,31,0.0,1
1,216,0.0,1
1,979,0.0,1
1,135,0.0,1
1,897,0.0,1
1,371,0.0,1
1,100,0.0,1
1,385,0.0,1
1,103,0.0,1
1,426,0.0,1
1,714,0.0,1
1,250,0.0,1
1,360,0.0,1
1,961,0.0,1
1,890,0.0,1
1,550,0.0,1
1,185,0.0,1
1,793,0.0,1
1,138,0.0,1
1,218,0.0,1
1,547,0.0,1
1,177,0.0,1
1,139,0.0,1
1,25,0.0,1
1,352,0.0,1
1,429,0.0,1
1,673,0.0,1
1,15,0.0,1
1,227,0.0,1
1,181,0.0,1
1,974,0.0,1
1,95,0.0,1
1,144,0.0,1
1,658,0.0,1
1,316,0.0,1
1,889,0.0,1
1,93,0.0,1
1,602,0.0,1
1,988,0.0,1
1,455,0.0,1
1,381,0.0,1
1,183,0.0,1
1,486,0.0,1
1,651,0.0,1
1,338,0.0,1
1,462,0.0,1
1,733,0.0,1
1,286,0.0,1
1,81,0.0,1
1,4,0.0,1
1,395,0.0,1
1,464,0.0,1
1,691,0.0,1
1,592,0.0,1
1,308,0.0,1
1,688,0.0,1
1,971,0.0,1
1,249,0.0,1
1,155,0.0,1
1,378,0.0,1
1,902,0.0,1
1,516,0.0,1
1,444,0.0,1
1,331,0.0,1
1,825,0.0,1
1,778,0.0,1
1,956,0.0,1
1,298,0.0,1
1,317,0.0,1
1,524,0.0,1
1,973,0.0,1
1,810,0.0,1
1,495,0.0,1
1,30,0.0,1
1,754,0.0,1
1,438,0.0,1
1,296,0.0,1
